name,link,age,value
Miroslav Klose,https://www.transfermarkt.co.uk/miroslav-klose/profil/spieler/10,31,£16.20m  
Jérôme Boateng,https://www.transfermarkt.co.uk/jerome-boateng/profil/spieler/26485,20,£3.60m  
Philipp Lahm,https://www.transfermarkt.co.uk/philipp-lahm/profil/spieler/2219,25,£22.50m  
Bastian Schweinsteiger,https://www.transfermarkt.co.uk/bastian-schweinsteiger/profil/spieler/2514,24,£14.40m  
Sami Khedira,https://www.transfermarkt.co.uk/sami-khedira/profil/spieler/29401,22,£7.65m  
Lukas Podolski,https://www.transfermarkt.co.uk/lukas-podolski/profil/spieler/15185,24,£10.80m  
Cacau,https://www.transfermarkt.co.uk/cacau/profil/spieler/1426,28,£5.40m  
Martin Skrtel,https://www.transfermarkt.co.uk/martin-skrtel/profil/spieler/24180,24,£13.50m  
Miroslav Stoch,https://www.transfermarkt.co.uk/miroslav-stoch/profil/spieler/45559,19,£900k  
Jan Durica,https://www.transfermarkt.co.uk/jan-durica/profil/spieler/34421,27,£2.97m  
Kornel Salata,https://www.transfermarkt.co.uk/kornel-salata/profil/spieler/74725,24, 
Marek Cech,https://www.transfermarkt.co.uk/marek-cech/profil/spieler/21354,26,£1.98m  
Zdeno Strba,https://www.transfermarkt.co.uk/zdeno-strba/profil/spieler/48608,33,£450k  
Marek Hamsik,https://www.transfermarkt.co.uk/marek-hamsik/profil/spieler/38593,21,£13.95m  
Juraj Kucka,https://www.transfermarkt.co.uk/juraj-kucka/profil/spieler/74943,22,£1.35m  
Jan Kozak,https://www.transfermarkt.co.uk/jan-kozak/profil/spieler/34427,29,£1.13m  
Stanislav Sestak,https://www.transfermarkt.co.uk/stanislav-sestak/profil/spieler/28775,26,£4.05m  
Erik Jendrisek,https://www.transfermarkt.co.uk/erik-jendrisek/profil/spieler/41369,22,£1.35m  
Daniel Agger,https://www.transfermarkt.co.uk/daniel-agger/profil/spieler/22832,24,£10.80m  
Lars Jacobsen,https://www.transfermarkt.co.uk/lars-jacobsen/profil/spieler/1423,29,£1.35m  
Christian Poulsen,https://www.transfermarkt.co.uk/christian-poulsen/profil/spieler/1443,29,£9.45m  
Thomas Kahlenberg,https://www.transfermarkt.co.uk/thomas-kahlenberg/profil/spieler/15052,26,£4.05m  
Nicklas Bendtner,https://www.transfermarkt.co.uk/nicklas-bendtner/profil/spieler/34557,21,£6.75m  
Simon Poulsen,https://www.transfermarkt.co.uk/simon-poulsen/profil/spieler/23097,24,£1.35m  
Thomas Enevoldsen,https://www.transfermarkt.co.uk/thomas-enevoldsen/profil/spieler/37221,21,£1.80m  
Dennis Rommedahl,https://www.transfermarkt.co.uk/dennis-rommedahl/profil/spieler/4361,30,£1.58m  
Jon Dahl Tomasson,https://www.transfermarkt.co.uk/jon-dahl-tomasson/profil/spieler/4169,32,£3.15m  
Stéphane Grichting,https://www.transfermarkt.co.uk/stephane-grichting/profil/spieler/5419,30,£2.25m  
Reto Ziegler,https://www.transfermarkt.co.uk/reto-ziegler/profil/spieler/9915,23,£1.44m  
