,name,link,age,value
164,Carlo Ancelotti,https://www.transfermarkt.co.uk/carlo-ancelotti/profil/spieler/116679,22, 
165,Giancarlo Antognoni,https://www.transfermarkt.co.uk/giancarlo-antognoni/profil/spieler/128892,27, 
166,Bruno Conti,https://www.transfermarkt.co.uk/bruno-conti/profil/spieler/116698,26, 
167,Daniele Massaro,https://www.transfermarkt.co.uk/daniele-massaro/profil/spieler/102480,20, 
168,Francesco Graziani,https://www.transfermarkt.co.uk/francesco-graziani/profil/spieler/128884,28, 
169,Franco Selvaggi,https://www.transfermarkt.co.uk/franco-selvaggi/profil/spieler/128890,28, 
170,Thomas N'Kono,https://www.transfermarkt.co.uk/thomas-nkono/profil/spieler/102612,25, 
171,Simon Tchobang,https://www.transfermarkt.co.uk/simon-tchobang/profil/spieler/133343,29, 
172,René Brice Ndjeya,https://www.transfermarkt.co.uk/rene-brice-ndjeya/profil/spieler/133319,27, 
173,Ephrem Mbom,https://www.transfermarkt.co.uk/ephrem-mbom/profil/spieler/133322,26, 
174,Ibrahim Aoudou,https://www.transfermarkt.co.uk/ibrahim-aoudou/profil/spieler/133334,25, 
175,Michel Kaham,https://www.transfermarkt.co.uk/michel-kaham/profil/spieler/133310,29, 
176,Charles Toubé,https://www.transfermarkt.co.uk/charles-toube/profil/spieler/133325,23, 
177,Joseph Enanga,https://www.transfermarkt.co.uk/joseph-enanga/profil/spieler/133339,24, 
178,Théophile Abega,https://www.transfermarkt.co.uk/theophile-abega/profil/spieler/133330,26, 
179,Alain Eyobo,https://www.transfermarkt.co.uk/alain-eyobo/profil/spieler/133341,19, 
180,Roger Milla,https://www.transfermarkt.co.uk/roger-milla/profil/spieler/88989,29, 
181,Joseph-Antoine Bell,https://www.transfermarkt.co.uk/joseph-antoine-bell/profil/spieler/102600,26, 
182,Edmond Enoka,https://www.transfermarkt.co.uk/edmond-enoka/profil/spieler/133315,25, 
183,Elie Onana,https://www.transfermarkt.co.uk/elie-onana/profil/spieler/133321,29, 
184,François Ndoumbé Lea,https://www.transfermarkt.co.uk/francois-ndoumbe-lea/profil/spieler/133333,27, 
185,Emmanuel Kundé,https://www.transfermarkt.co.uk/emmanuel-kunde/profil/spieler/133320,24, 
186,Grégoire Mbida,https://www.transfermarkt.co.uk/gregoire-mbida/profil/spieler/133323,29, 
187,Joseph Kamga,https://www.transfermarkt.co.uk/joseph-kamga/profil/spieler/133335,27, 
188,Jean-Pierre Tokoto,https://www.transfermarkt.co.uk/jean-pierre-tokoto/profil/spieler/133324,33, 
189,Jacques Nguea,https://www.transfermarkt.co.uk/jacques-nguea/profil/spieler/133337,25, 
190,Érnest-Lottin Ebongué,https://www.transfermarkt.co.uk/ernest-lottin-ebongue/profil/spieler/133342,19, 
191,Paul Bahoken,https://www.transfermarkt.co.uk/paul-bahoken/profil/spieler/133328,25, 
192,Héctor Baley,https://www.transfermarkt.co.uk/hector-baley/profil/spieler/135801,30, 
193,Nery Pumpido,https://www.transfermarkt.co.uk/nery-pumpido/profil/spieler/116737,23, 
194,José Daniel van Tuyne,https://www.transfermarkt.co.uk/jose-daniel-van-tuyne/profil/spieler/135847,26, 
195,Daniel Passarella,https://www.transfermarkt.co.uk/daniel-passarella/profil/spieler/116735,28, 
196,Alberto Tarantini,https://www.transfermarkt.co.uk/alberto-tarantini/profil/spieler/135844,25, 
197,Juan Alberto Barbas,https://www.transfermarkt.co.uk/juan-alberto-barbas/profil/spieler/135802,21, 
198,Américo Gallego,https://www.transfermarkt.co.uk/americo-gallego/profil/spieler/135810,26, 
199,Gabriel Calderón,https://www.transfermarkt.co.uk/gabriel-calderon/profil/spieler/106973,21, 
200,José Daniel Valencia,https://www.transfermarkt.co.uk/jose-daniel-valencia/profil/spieler/135846,25, 
201,Ricardo Daniel Bertoni,https://www.transfermarkt.co.uk/ricardo-daniel-bertoni/profil/spieler/135804,26, 
202,Mario Kempes,https://www.transfermarkt.co.uk/mario-kempes/profil/spieler/37264,26, 
203,Ubaldo Matildo Fillol,https://www.transfermarkt.co.uk/ubaldo-matildo-fillol/profil/spieler/135806,30, 
204,Enzo Trossero,https://www.transfermarkt.co.uk/enzo-trossero/profil/spieler/135845,28, 
205,Jorge Olguín,https://www.transfermarkt.co.uk/jorge-olguin/profil/spieler/135812,29, 
206,Luis Adolfo Galván,https://www.transfermarkt.co.uk/luis-adolfo-galvan/profil/spieler/135808,33, 
207,Patricio Jose Hernández,https://www.transfermarkt.co.uk/patricio-jose-hernandez/profil/spieler/135811,24, 
208,Osvaldo Ardiles,https://www.transfermarkt.co.uk/osvaldo-ardiles/profil/spieler/135800,28, 
209,Julio Olarticoechea,https://www.transfermarkt.co.uk/julio-olarticoechea/profil/spieler/106979,22, 
210,Diego Maradona,https://www.transfermarkt.co.uk/diego-maradona/profil/spieler/8024,20, 
211,Santiago Santamaría,https://www.transfermarkt.co.uk/santiago-santamaria/profil/spieler/135839,28, 
212,Ramón Díaz,https://www.transfermarkt.co.uk/ramon-diaz/profil/spieler/112591,21, 
213,Jorge Valdano,https://www.transfermarkt.co.uk/jorge-valdano/profil/spieler/116747,25, 
214,Mahdi Cerbah,https://www.transfermarkt.co.uk/mahdi-cerbah/profil/spieler/132472,28, 
215,Yacine Bentalaa,https://www.transfermarkt.co.uk/yacine-bentalaa/profil/spieler/132484,25, 
216,Nourredine Kourichi,https://www.transfermarkt.co.uk/nourredine-kourichi/profil/spieler/117744,27, 
217,Mahmoud Guendouz,https://www.transfermarkt.co.uk/mahmoud-guendouz/profil/spieler/117740,28, 
218,Faouzi Mansouri,https://www.transfermarkt.co.uk/faouzi-mansouri/profil/spieler/117749,25, 
219,Salah Larbes,https://www.transfermarkt.co.uk/salah-larbes/profil/spieler/132477,28, 
220,Hocine Yahi,https://www.transfermarkt.co.uk/hocine-yahi/profil/spieler/132478,21, 
221,Ali Fergani,https://www.transfermarkt.co.uk/ali-fergani/profil/spieler/132476,28, 
222,Djamel Zidane,https://www.transfermarkt.co.uk/djamel-zidane/profil/spieler/117754,26, 
223,Abdelmajid Bourebbou,https://www.transfermarkt.co.uk/abdelmajid-bourebbou/profil/spieler/132483,30, 
224,Salah Assad,https://www.transfermarkt.co.uk/salah-assad/profil/spieler/117731,22, 
225,Rabah Madjer,https://www.transfermarkt.co.uk/rabah-madjer/profil/spieler/117747,22, 
226,Mourad Amara,https://www.transfermarkt.co.uk/mourad-amara/profil/spieler/117730,22, 
227,Redouane Drici,https://www.transfermarkt.co.uk/redouane-drici/profil/spieler/350024,22, 
228,Abdelkader Horr,https://www.transfermarkt.co.uk/abdelkader-horr/profil/spieler/132481,27, 
229,Mustapha Kouici,https://www.transfermarkt.co.uk/mustapha-kouici/profil/spieler/132473,26, 
230,Chaabane Merzekane,https://www.transfermarkt.co.uk/chaabane-merzekane/profil/spieler/132474,22, 
231,Ali Bencheikh,https://www.transfermarkt.co.uk/ali-bencheikh/profil/spieler/132475,25, 
232,Karim Maroc,https://www.transfermarkt.co.uk/karim-maroc/profil/spieler/117750,23, 
233,Lakhdar Belloumi,https://www.transfermarkt.co.uk/lakhdar-belloumi/profil/spieler/117732,22, 
234,Djamel Tlemcani,https://www.transfermarkt.co.uk/djamel-tlemcani/profil/spieler/132482,26, 
235,Mustapha Dahleb,https://www.transfermarkt.co.uk/mustapha-dahleb/profil/spieler/132480,29, 
236,Tedj Bensaoula,https://www.transfermarkt.co.uk/tedj-bensaoula/profil/spieler/117735,26, 
237,Pat Jennings,https://www.transfermarkt.co.uk/pat-jennings/profil/spieler/117756,36, 
238,George Dunlop,https://www.transfermarkt.co.uk/george-dunlop/profil/spieler/141114,25, 
239,John O'Neill,https://www.transfermarkt.co.uk/john-oneill/profil/spieler/117761,23, 
240,Mal Donaghy,https://www.transfermarkt.co.uk/mal-donaghy/profil/spieler/117755,23, 
241,Jimmy Nicholl,https://www.transfermarkt.co.uk/jimmy-nicholl/profil/spieler/117760,25, 
242,Tommy Cassidy,https://www.transfermarkt.co.uk/tommy-cassidy/profil/spieler/141106,30, 
243,Felix Healy,https://www.transfermarkt.co.uk/felix-healy/profil/spieler/141110,25, 
244,Billy Caskey,https://www.transfermarkt.co.uk/billy-caskey/profil/spieler/215788,26, 
245,Martin O'Neill,https://www.transfermarkt.co.uk/martin-oneill/profil/spieler/141104,29, 
246,Tommy Finney,https://www.transfermarkt.co.uk/tommy-finney/profil/spieler/141108,28, 
247,Billy Hamilton,https://www.transfermarkt.co.uk/billy-hamilton/profil/spieler/117771,24, 
248,Derek Spence,https://www.transfermarkt.co.uk/derek-spence/profil/spieler/263544,29, 
249,Ian Stewart,https://www.transfermarkt.co.uk/ian-stewart/profil/spieler/117765,19, 
250,Jim Platt,https://www.transfermarkt.co.uk/jim-platt/profil/spieler/117763,29, 
251,Chris Nicholl,https://www.transfermarkt.co.uk/chris-nicholl/profil/spieler/139379,34, 
252,John McClelland,https://www.transfermarkt.co.uk/john-mcclelland/profil/spieler/117773,25, 
253,Sammy Nelson,https://www.transfermarkt.co.uk/sammy-nelson/profil/spieler/176714,32, 
254,Noel Brotherston,https://www.transfermarkt.co.uk/noel-brotherston/profil/spieler/141101,24, 
255,John Charles Jameson,https://www.transfermarkt.co.uk/john-charles-jameson/profil/spieler/141109,23, 
256,James Cleary,https://www.transfermarkt.co.uk/james-cleary/profil/spieler/141111,25, 
257,David McCreery,https://www.transfermarkt.co.uk/david-mccreery/profil/spieler/117757,23, 
258,Sammy McIlroy,https://www.transfermarkt.co.uk/sammy-mcilroy/profil/spieler/117759,26, 
259,Norman Whiteside,https://www.transfermarkt.co.uk/norman-whiteside/profil/spieler/117766,16, 
260,Robert McFaul Campbell,https://www.transfermarkt.co.uk/robert-mcfaul-campbell/profil/spieler/141112,24, 
261,Terry Cochrane,https://www.transfermarkt.co.uk/terry-cochrane/profil/spieler/303782,28, 
262,Gerry Armstrong,https://www.transfermarkt.co.uk/gerry-armstrong/profil/spieler/117767,27, 
263,José Nazar,https://www.transfermarkt.co.uk/jose-nazar/profil/spieler/141726,27, 
264,Jimmy Steward,https://www.transfermarkt.co.uk/jimmy-steward/profil/spieler/141748,34, 
265,Fernando Bulnes,https://www.transfermarkt.co.uk/fernando-bulnes/profil/spieler/141727,34, 
266,Domingo Drummond,https://www.transfermarkt.co.uk/domingo-drummond/profil/spieler/141738,24, 
267,Gilberto Yearwood,https://www.transfermarkt.co.uk/gilberto-yearwood/profil/spieler/141746,25, 
268,Ramón Maradiaga,https://www.transfermarkt.co.uk/ramon-maradiaga/profil/spieler/141731,26, 
269,David Bueso,https://www.transfermarkt.co.uk/david-bueso/profil/spieler/141736,26, 
270,Héctor Zelaya,https://www.transfermarkt.co.uk/hector-zelaya/profil/spieler/141741,23, 
271,Eduardo Laing,https://www.transfermarkt.co.uk/eduardo-laing/profil/spieler/141732,22, 
272,Roberto Figueroa,https://www.transfermarkt.co.uk/roberto-figueroa/profil/spieler/141735,21, 
273,Carlos Orlando Caballero,https://www.transfermarkt.co.uk/carlos-orlando-caballero/profil/spieler/141744,22, 
274,Julio César Arzú,https://www.transfermarkt.co.uk/julio-cesar-arzu/profil/spieler/141747,23, 
